Authors,Source,Title,Year,composition,Ag (at.%),Al (at.%),Au (at.%),Cd (at.%),Co (at.%),Cu (at.%),Fe (at.%),Hf (at.%),Mn (at.%),Nb (at.%),Ni (at.%),Pd (at.%),Pt (at.%),Ru (at.%),Si (at.%),Ta (at.%),Ti (at.%),Zn (at.%),Zr (at.%),Austenite Finish Temperature - AF - (°C),Austenite Start Temperature - AS - (°C),Martensite Finish Temperature - MF - (°C),Martensite Start Temperature - MS - (°C),Cooling Rate (°C/min),Heating Rate (°C/min),Calculated Density (g/cm^3),Thermal transformation span (TSPAN) - (AF-MF) - (°C)
O. Rios; R.D. Noebe; T. Biles; A. Garg; A. Palczer; D. Scheiman; H.J. Seifert; M. Kaufman,SPIE Proceedings,Characterization of Ternary NiTiPt High-Temperature Shape Memory Alloys,2005.0,Ni22.0Ti53.0Pt25.0 %,,,,,,,,,,,22.0,,25.0,,,,53.0,,,,420.0,,402.0,,,,
O. Rios; R.D. Noebe; T. Biles; A. Garg; A. Palczer; D. Scheiman; H.J. Seifert; M. Kaufman,SPIE Proceedings,Characterization of Ternary NiTiPt High-Temperature Shape Memory Alloys,2005.0,Ni25.0Ti50.0Pt25.0 %,,,,,,,,,,,25.0,,25.0,,,,50.0,,,,449.0,,436.0,,,,
O. Rios; R.D. Noebe; T. Biles; A. Garg; A. Palczer; D. Scheiman; H.J. Seifert; M. Kaufman,SPIE Proceedings,Characterization of Ternary NiTiPt High-Temperature Shape Memory Alloys,2005.0,Ni28.0Ti47.0Pt25.0 %,,,,,,,,,,,28.0,,25.0,,,,47.0,,,,449.0,,446.0,,,,
O. Rios; R.D. Noebe; T. Biles; A. Garg; A. Palczer; D. Scheiman; H.J. Seifert; M. Kaufman,SPIE Proceedings,Characterization of Ternary NiTiPt High-Temperature Shape Memory Alloys,2005.0,Ni17.5Ti55.0Pt27.5 %,,,,,,,,,,,17.5,,27.5,,,,55.0,,,,486.0,,470.0,,,,
O. Rios; R.D. Noebe; T. Biles; A. Garg; A. Palczer; D. Scheiman; H.J. Seifert; M. Kaufman,SPIE Proceedings,Characterization of Ternary NiTiPt High-Temperature Shape Memory Alloys,2005.0,Ni25.0Ti47.0Pt28.0 %,,,,,,,,,,,25.0,,28.0,,,,47.0,,,,552.0,,523.0,,,,
O. Rios; R.D. Noebe; T. Biles; A. Garg; A. Palczer; D. Scheiman; H.J. Seifert; M. Kaufman,SPIE Proceedings,Characterization of Ternary NiTiPt High-Temperature Shape Memory Alloys,2005.0,Ni19.0Ti52.0Pt29.0 %,,,,,,,,,,,19.0,,29.0,,,,52.0,,,,526.0,,492.0,,,,
O. Rios; R.D. Noebe; T. Biles; A. Garg; A. Palczer; D. Scheiman; H.J. Seifert; M. Kaufman,SPIE Proceedings,Characterization of Ternary NiTiPt High-Temperature Shape Memory Alloys,2005.0,Ni20.0Ti50.0Pt30.0 %,,,,,,,,,,,20.0,,30.0,,,,50.0,,,,600.0,,591.0,,,,
O. Rios; R.D. Noebe; T. Biles; A. Garg; A. Palczer; D. Scheiman; H.J. Seifert; M. Kaufman,SPIE Proceedings,Characterization of Ternary NiTiPt High-Temperature Shape Memory Alloys,2005.0,Ni21.0Ti48.0Pt31.0 %,,,,,,,,,,,21.0,,31.0,,,,48.0,,,,666.0,,605.0,,,,
O. Rios; R.D. Noebe; T. Biles; A. Garg; A. Palczer; D. Scheiman; H.J. Seifert; M. Kaufman,SPIE Proceedings,Characterization of Ternary NiTiPt High-Temperature Shape Memory Alloys,2005.0,Ni10.0Ti50.0Pt40.0 %,,,,,,,,,,,10.0,,40.0,,,,50.0,,,,838.0,,811.0,,,,
O. Rios; R.D. Noebe; T. Biles; A. Garg; A. Palczer; D. Scheiman; H.J. Seifert; M. Kaufman,SPIE Proceedings,Characterization of Ternary NiTiPt High-Temperature Shape Memory Alloys,2005.0,Ni5.0Ti50.0Pt45.0 %,,,,,,,,,,,5.0,,45.0,,,,50.0,,,,963.0,,917.0,,,,
P.G. Lindquist,PhD Thesis,Structure and transformation behavior of martensitic Ti - (Ni;Pd) and Ti - (Ni;Pt) alloys,1988.0,Ni45.0Ti50.0Pt5.0 %,,,,,,,,,,,45.0,,5.0,,,,50.0,,,,36.0,,29.0,,,,
P.G. Lindquist,PhD Thesis,Structure and transformation behavior of martensitic Ti - (Ni;Pd) and Ti - (Ni;Pt) alloys,1988.0,Ni40.0Ti50.0Pt10.0 %,,,,,,,,,,,40.0,,10.0,,,,50.0,,,,-27.0,,18.0,,,,
P.G. Lindquist,PhD Thesis,Structure and transformation behavior of martensitic Ti - (Ni;Pd) and Ti - (Ni;Pt) alloys,1988.0,Ni30.0Ti50.0Pt20.0 %,,,,,,,,,,,30.0,,20.0,,,,50.0,,,,263.0,,300.0,,,,
P.G. Lindquist,PhD Thesis,Structure and transformation behavior of martensitic Ti - (Ni;Pd) and Ti - (Ni;Pt) alloys,1988.0,Ni20.0Ti50.0Pt30.0 %,,,,,,,,,,,20.0,,30.0,,,,50.0,,,,626.0,,619.0,,,,
L.L. Meisner; V.P. Sivokha,Physica B: Condensed Matter,The effect of applied stress on the shape memory behavior of TiNi-based alloys with different consequences of martensitic transformations,2004.0,Ni34.0Ti50.0Pt16.0 %,,,,,,,,,,,34.0,,16.0,,,,50.0,,,,119.0,,217.0,,,,
T.  Inamura; Y.Takahashi; H. Hosoda; K. Wakashima; T. Nagase; T. Nakano; Y. Umakoshi; S. Miyazaki,Materials Transactions,Martensitic Transformation Behavior and Shape Memory Properties of Ti–Ni–Pt Melt-Spun Ribbons,2006.0,Ni40.0Ti50.0Pt10.0 %,,,,,,,,,,,40.0,,10.0,,,,50.0,,,,-23.0,,20.0,,,,
J. Frenzel; A. Wieczorek; I. Opahle; B. Maaß; R. Drautz; G. Eggeler,Acta Materialia,On the effect of alloy composition on martensite start temperatures and latent heats in Ni–Ti-based shape memory alloys,2015.0,Ni49.8Ti48.2Pt2.0 %,,,,,,,,,,,49.8,,2.0,,,,48.2,,,,313.0,,325.0,,,,
T.E. Bucheit; D.F. Susan; J.E. Massad; J.R. McElhanon; R.D. Noebe,Metallurgical and Materials Transactions A,Mechanical and Functional Behavior of High-Temperature Ni-Ti-Pt Shape Memory Alloys ,2014.0,Ni34.0Ti50.5Pt15.5 %,,,,,,,,,,,34.0,,15.5,,,,50.5,,,,202.0,,206.0,,,,
T.E. Bucheit; D.F. Susan; J.E. Massad; J.R. McElhanon; R.D. Noebe,Metallurgical and Materials Transactions A,Mechanical and Functional Behavior of High-Temperature Ni-Ti-Pt Shape Memory Alloys ,2014.0,Ni33.5Ti50.5Pt16.0 %,,,,,,,,,,,33.5,,16.0,,,,50.5,,,,204.0,,213.0,,,,
T.E. Bucheit; D.F. Susan; J.E. Massad; J.R. McElhanon; R.D. Noebe,Metallurgical and Materials Transactions A,Mechanical and Functional Behavior of High-Temperature Ni-Ti-Pt Shape Memory Alloys ,2014.0,Ni33.0Ti50.5Pt16.5 %,,,,,,,,,,,33.0,,16.5,,,,50.5,,,,222.0,,219.0,,,,
G. Hudish,PhD Thesis,Influence of microstructure on the shape memory properties of two Ti-lean; Ni-Ti-Pt high temperature shape memory alloys,2013.0,Ni29.5Ti49.5Pt21.0 %,,,,,,,,,,,29.5,,21.0,,,,49.5,,,,245.0,,226.0,,,,
G. Hudish,PhD Thesis,Influence of microstructure on the shape memory properties of two Ti-lean; Ni-Ti-Pt high temperature shape memory alloys,2013.0,Ni30.5Ti48.5Pt21.0 %,,,,,,,,,,,30.5,,21.0,,,,48.5,,,,262.0,,320.0,,,,
K. Wu; Z. Pu and Y. Gao,International Conference of Displacive Phase Transformations and their Applications in Materials Engineering,Study of NiTi-Hf and NiTi-Zr High-Temperature Shape Memory Alloys,1996.0,Ni48.0Ti51.0Hf1.0 %,,,,,,,,1.0,,,48.0,,,,,,51.0,,,,89.0,,69.0,,,,
K. Wu; Z. Pu and Y. Gao,International Conference of Displacive Phase Transformations and their Applications in Materials Engineering,Study of NiTi-Hf and NiTi-Zr High-Temperature Shape Memory Alloys,1996.0,Ni48.0Ti46.0Hf6.0 %,,,,,,,,6.0,,,48.0,,,,,,46.0,,,,85.0,,65.0,,,,
K. Wu; Z. Pu and Y. Gao,International Conference of Displacive Phase Transformations and their Applications in Materials Engineering,Study of NiTi-Hf and NiTi-Zr High-Temperature Shape Memory Alloys,1996.0,Ni48.0Ti39.5Hf12.5 %,,,,,,,,12.5,,,48.0,,,,,,39.5,,,,199.0,,151.0,,,,
K. Wu; Z. Pu and Y. Gao,International Conference of Displacive Phase Transformations and their Applications in Materials Engineering,Study of NiTi-Hf and NiTi-Zr High-Temperature Shape Memory Alloys,1996.0,Ni48.0Ti37.0Hf15.0 %,,,,,,,,15.0,,,48.0,,,,,,37.0,,,,236.0,,213.0,,,,
K. Wu; Z. Pu and Y. Gao,International Conference of Displacive Phase Transformations and their Applications in Materials Engineering,Study of NiTi-Hf and NiTi-Zr High-Temperature Shape Memory Alloys,1996.0,Ni48.0Ti32.0Hf20.0 %,,,,,,,,20.0,,,48.0,,,,,,32.0,,,,313.0,,301.0,,,,
K. Wu; Z. Pu and Y. Gao,International Conference of Displacive Phase Transformations and their Applications in Materials Engineering,Study of NiTi-Hf and NiTi-Zr High-Temperature Shape Memory Alloys,1996.0,Ni48.0Ti27.0Hf25.0 %,,,,,,,,25.0,,,48.0,,,,,,27.0,,,,420.0,,412.0,,,,
L. Meisner; V. Sivokha and V. Grishkov,Shape Memory Materials 94,The martensitic transformations and the shape memory effect in the Ni50Ti50−xZrxalloys,1994.0,Ni50.0Ti49.0Zr1.0 %,,,,,,,,,,,50.0,,,,,,49.0,,1.0,,105.0,,127.0,,,,
L. Meisner; V. Sivokha and V. Grishkov,Shape Memory Materials 94,The martensitic transformations and the shape memory effect in the Ni50Ti50−xZrxalloys,1994.0,Ni50.0Ti45.0Zr5.0 %,,,,,,,,,,,50.0,,,,,,45.0,,5.0,,104.0,,129.0,,,,
L. Meisner; V. Sivokha and V. Grishkov,Shape Memory Materials 94,The martensitic transformations and the shape memory effect in the Ni50Ti50−xZrxalloys,1994.0,Ni50.0Ti35.0Zr15.0 %,,,,,,,,,,,50.0,,,,,,35.0,,15.0,,217.0,,234.0,,,,
L. Meisner and V. Sivokha,Journal de Physique IV,Deformation of Crystal Lattice in the Process of Martensitic Transformation in Alloys of Ni50Ti50-xZrx,1995.0,Ni50.0Ti49.0Zr1.0 %,,,,,,,,,,,50.0,,,,,,49.0,,1.0,,78.0,,79.0,,,,
L. Meisner and V. Sivokha,Journal de Physique IV,Deformation of Crystal Lattice in the Process of Martensitic Transformation in Alloys of Ni50Ti50-xZrx,1995.0,Ni50.0Ti45.0Zr5.0 %,,,,,,,,,,,50.0,,,,,,45.0,,5.0,,90.0,,90.0,,,,
L. Meisner and V. Sivokha,Journal de Physique IV,Deformation of Crystal Lattice in the Process of Martensitic Transformation in Alloys of Ni50Ti50-xZrx,1995.0,Ni50.0Ti40.0Zr10.0 %,,,,,,,,,,,50.0,,,,,,40.0,,10.0,,129.0,,112.0,,,,
L. Meisner and V. Sivokha,Journal de Physique IV,Deformation of Crystal Lattice in the Process of Martensitic Transformation in Alloys of Ni50Ti50-xZrx,1995.0,Ni50.0Ti35.0Zr15.0 %,,,,,,,,,,,50.0,,,,,,35.0,,15.0,,194.0,,162.0,,,,
C. Xie and T. Hsu,Materials characterization,Catalysis of deformation on martensitic and reverse transformations in a NiAl-Fe shape memory alloy,1997.0,Ni57.739999999999995Al24.06Fe18.2 %,,24.06,,,,,18.2,,,,57.74,,,,,,,,,,43.0,,50.0,,,,
El-Bagoury; Nader,Metals and Materials International,Comparative study on microstructure and martensitic transformation of aged Ni-rich NiTi and NiTiCo shape memory alloys,2016.0,Ni47.0Ti49.0Co4.0 %,,,,,4.0,,,,,,47.0,,,,,,49.0,,,,,,,10.0,10.0,,
"Choi; Mi Seon
Ogawa; Jumpei
Fukuda; Takashi
Kakeshita; Tomoyuki",Materials Science Forum,Stability of the B2-Type Structure of Ti-Ni-Fe and Ti-Ni-Co Shape Memory Alloys,2006.0,Ni46.0Ti50.0Co4.0 %,,,,,4.0,,,,,,46.0,,,,,,50.0,,,,,,,5.0,5.0,,
"Choi; Mi Seon
Ogawa; Jumpei
Fukuda; Takashi
Kakeshita; Tomoyuki",Materials Science Forum,Stability of the B2-Type Structure of Ti-Ni-Fe and Ti-Ni-Co Shape Memory Alloys,2006.0,Ni42.0Ti50.0Co8.0 %,,,,,8.0,,,,,,42.0,,,,,,50.0,,,,,,,5.0,5.0,,
"Choi; Mi Seon
Ogawa; Jumpei
Fukuda; Takashi
Kakeshita; Tomoyuki",Materials Science Forum,Stability of the B2-Type Structure of Ti-Ni-Fe and Ti-Ni-Co Shape Memory Alloys,2006.0,Ni38.0Ti50.0Co12.0 %,,,,,12.0,,,,,,38.0,,,,,,50.0,,,,,,,5.0,5.0,,
"Choi; Mi Seon
Ogawa; Jumpei
Fukuda; Takashi
Kakeshita; Tomoyuki",Materials Science Forum,Stability of the B2-Type Structure of Ti-Ni-Fe and Ti-Ni-Co Shape Memory Alloys,2006.0,Ni36.0Ti50.0Co14.0 %,,,,,14.0,,,,,,36.0,,,,,,50.0,,,,,,,5.0,5.0,,
C. Zhou; C. Guo; C. Li and Z. Du,Thermochimica Acta,Thermodynamic optimization of the Ni–Ta system supported by the key experiments,2018.0,Ni85Ta15 %,,,,,,,,,,,85.0,,,,,15.0,,,,,,,,5.0,5.0,,
C. Zhou; C. Guo; C. Li and Z. Du,Thermochimica Acta,Thermodynamic optimization of the Ni–Ta system supported by the key experiments,2018.0,Ni83Ta17 %,,,,,,,,,,,83.0,,,,,17.0,,,,,,,,5.0,5.0,,
C. Zhou; C. Guo; C. Li and Z. Du,Thermochimica Acta,Thermodynamic optimization of the Ni–Ta system supported by the key experiments,2018.0,Ni60Ta40 %,,,,,,,,,,,60.0,,,,,40.0,,,,,,,,5.0,5.0,,
C. Zhou; C. Guo; C. Li and Z. Du,Thermochimica Acta,Thermodynamic optimization of the Ni–Ta system supported by the key experiments,2018.0,Ni50Ta50 %,,,,,,,,,,,50.0,,,,,50.0,,,,,,,,5.0,5.0,,
Balagurov AM; Bobrikov IA; Pons J; Cifre J; Sun LY; Golovin IS,  Materials Characterization, Structure of the Fe-Mn-Si alloys submitted to γ↔ ε thermocycling,2018.0,Fe72.58Mn21.64Si5.78 %,,,,,,,72.58,,21.64,,,,,,5.78,,,,,,,,,10.2,10.2,,
Balagurov AM; Bobrikov IA; Pons J; Cifre J; Sun LY; Golovin IS,  Materials Characterization, Structure of the Fe-Mn-Si alloys submitted to γ↔ ε thermocycling,2018.0,Fe67.06Mn25.32Si7.62 %,,,,,,,67.06,,25.32,,,,,,7.62,,,,,,,,,10.2,10.2,,
Balagurov AM; Bobrikov IA; Pons J; Cifre J; Sun LY; Golovin IS,  Materials Characterization, Structure of the Fe-Mn-Si alloys submitted to γ↔ ε thermocycling,2018.0,Fe62.41Mn24.62Si12.97 %,,,,,,,62.41,,24.62,,,,,,12.97,,,,,,,,,10.2,10.2,,
Yang HS; Jang JH; Bhadeshia HK; Suh DW,Calphad,Critical assessment: Martensite-start temperature for the γ→ ε transformation,2012.0,Fe79.3772Mn15.4067Si5.2161 %,,,,,,,79.3772,,15.4067,,,,,,5.2161,,,,,,,,,612.0,122.4,,
Yang HS; Jang JH; Bhadeshia HK; Suh DW,Calphad,Critical assessment: Martensite-start temperature for the γ→ ε transformation,2012.0,Fe74.4306Mn15.4014Si10.1679 %,,,,,,,74.4306,,15.4014,,,,,,10.1679,,,,,,,,,612.0,122.4,,
Yang HS; Jang JH; Bhadeshia HK; Suh DW,Calphad,Critical assessment: Martensite-start temperature for the γ→ ε transformation,2012.0,Fe74.7202Mn25.0819Si0.1978 %,,,,,,,74.7202,,25.0819,,,,,,0.1978,,,,,,,,,612.0,122.4,,
Yang HS; Jang JH; Bhadeshia HK; Suh DW,Calphad,Critical assessment: Martensite-start temperature for the γ→ ε transformation,2012.0,Fe69.6805Mn24.9238Si5.3957 %,,,,,,,69.6805,,24.9238,,,,,,5.3957,,,,,,,,,612.0,122.4,,
Yang HS; Jang JH; Bhadeshia HK; Suh DW,Calphad,Critical assessment: Martensite-start temperature for the γ→ ε transformation,2012.0,Fe66.1282Mn24.0759Si9.7959 %,,,,,,,66.1282,,24.0759,,,,,,9.7959,,,,,,,,,612.0,122.4,,
Zhou ZC; Wen CE; Yang H; Yan YJ,physica status solidi (a), Low frequency damping capacity in a strained Fe–Mn–Si alloy,2010.0,Fe63.11Mn30.83Si6.06 %,,,,,,,63.11,,30.83,,,,,,6.06,,,,,,,,,10.0,10.0,,
V. C. Solomon and M. Nishida,Materials Transactions,Effect of aging on martensitic transformation in Ti-Rich Ti-Pd shape memory alloy,2002.0,Ti53.0Pd47.0 %,,,,,,,,,,,,47.0,,,,,53.0,,,,,,,10.0,10.0,,
M. Matsuda; S. Yano and M. Nishida,Materials Transactions,Morphology and Crystallography of Martensite Plate with Long Period Stacking Structure in Ti-Pd Shape Memory Alloy,2011.0,Ti50.0Pd50.0 %,,,,,,,,,,,,50.0,,,,,50.0,,,,,,,20.0,20.0,,
W. Cai; K. Otsuka,Journal of Materials Science and Technology,Martensite aging effect and thermal cyclic characteristics in Ti-Pd and Ti-Pd-Ni high temperature shape memory alloys,2001.0,Ti50.0Pd50.0 %,,,,,,,,,,,,50.0,,,,,50.0,,,,,,,10.0,10.0,,
W. Cai; K. Otsuka,Scripta Metallurgica et Materialia,Martensite Aging Effect in a Ti50Pd50 High Temperature Shape Memory Alloy,1999.0,Ti50.0Pd50.0 %,,,,,,,,,,,,50.0,,,,,50.0,,,,,,,10.0,10.0,,
T. Kawamura; R. Tachi; T. Inamura; H. Hosoda; K. Wakashima; K. Hamada and S. Miyazaki,Materials Science and Engineering: A,Effects of ternary additions on martensitic transformation of TiAu,2006.0,Ti50.0Au50.0 %,,,50.0,,,,,,,,,,,,,,50.0,,,,,,,10.0,10.0,,
T. Kawamura; R. Tachi; T. Inamura; H. Hosoda; K. Wakashima; K. Hamadac; S. Miyazaki ,Materials Science and Engineering A,Effects of ternary additions on the martensitic transformation of TiAu,2006.0,Ti50.0Au50.0 %,,,50.0,,,,,,,,,,,,,,50.0,,,,,,,10.0,10.0,,
X. Gao; Y. Zheng; W. Cai and L. Zhao,Acta Metallurgica Sinica,Phase Transformation Behavior and Microstructure Observation of Nb-Ru High Temperature Shape Memory Alloy,2003.0,Ru53.0Nb47.0 %,,,,,,,,,,47.0,,,,53.0,,,,,,,,,,10.0,10.0,,
X. Gao; Y. Zheng; W. Cai and L. Zhao,Acta Metallurgica Sinica,Phase Transformation Behavior and Microstructure Observation of Nb-Ru High Temperature Shape Memory Alloy,2003.0,Ru45.0Nb55.0 %,,,,,,,,,,55.0,,,,45.0,,,,,,,,,,10.0,10.0,,
C.-L. Tan; X.-H. Tian and W. Cai,Chinese Physics Letters,Effect of Fe on martensitic transformation of NbRu high-temperature shape memory alloys: Experimental and theoretical study,2008.0,Ru50.0Nb50.0 %,,,,,,,,,,50.0,,,,50.0,,,,,,,,,,20.0,20.0,,
A. M. Manzoni; A. Denquin; P. Vermaut; I. P. Orench; F. Prima and R. A. Portier,Intermetallics,Shape memory deformation mechanisms of Ru–Nb and Ru–Ta shape memory alloys with transformation temperatures,2014.0,Ru50.0Nb50.0 %,,,,,,,,,,50.0,,,,50.0,,,,,,,,,,10.0,10.0,,
M. Mahlatji; S. Chikosha; H. K. Chikwanda; W. Stumpf and C. Siyasiya,Advanced Materials Research,Thermal Properties of Amorphous TiPt Alloy Produced by Mechanical Alloying,2014.0,Ti50.0Pt50.0 %,,,,,,,,,,,,,50.0,,,,50.0,,,,,,,20.0,20.0,,
Y. Yamabe-Mitarai; R. Arockiakumar; A. Wadood; K. Suresh; T. Kitashima; T. Hara; M. Shimojo; W. Tasaki; M. Takahashi and S. Takahashi,Materials Today: Proceedings,Ti (Pt; Pd; Au) based high temperature shape memory alloys,2015.0,Ti50.0Pt50.0 %,,,,,,,,,,,,,50.0,,,,50.0,,,,,,,10.0,10.0,,
K. E. Tello; R. D. Noebe; A. Garg; J. Allaz and M. J. Kaufman,Materials Characterization,Revisiting the Ti-Pt system relevant to high temperature shape memory alloys,2017.0,Ti65.0Pt35.0 %,,,,,,,,,,,,,35.0,,,,65.0,,,,,,,20.0,20.0,,
K. E. Tello; R. D. Noebe; A. Garg; J. Allaz and M. J. Kaufman,Materials Characterization,Revisiting the Ti-Pt system relevant to high temperature shape memory alloys,2017.0,Ti69.0Pt31.0 %,,,,,,,,,,,,,31.0,,,,69.0,,,,,,,20.0,20.0,,
W. Cai; K. Otsuka,Journal of Materials Science and Technology,Martensite aging effect and thermal cyclic characteristics in Ti-Pd and Ti-Pd-Ni high temperature shape memory alloys,2001.0,Ni40.0Ti50.0Pd10.0 %,,,,,,,,,,,40.0,10.0,,,,,50.0,,,,,,,10.0,10.0,,
W. Cai; K. Otsuka,Journal of Materials Science and Technology,Martensite aging effect and thermal cyclic characteristics in Ti-Pd and Ti-Pd-Ni high temperature shape memory alloys,2001.0,Ni20.0Ti50.0Pd30.0 %,,,,,,,,,,,20.0,30.0,,,,,50.0,,,,,,,10.0,10.0,,
K.N. Lin; S.K. Wu; L.M. Wu,Materials Transactions,Martensitic Transformation of Ti50Ni25-xPd25-yCux+y Quaternary Shape Memory Alloys with x; y < 10at%,2009.0,Ni25.0Ti50.0Pd25.0 %,,,,,,,,,,,25.0,25.0,,,,,50.0,,,,,,,10.0,10.0,,
Z. Zhang; R.D. James; S. Muller,Acta Materialia,Energy barriers and hysteresis in martensitic phase transformations,2009.0,Ni45.0Ti50.0Pd5.0 %,,,,,,,,,,,45.0,5.0,,,,,50.0,,,,,,,10.0,10.0,,
Z. Zhang; R.D. James; S. Muller,Acta Materialia,Energy barriers and hysteresis in martensitic phase transformations,2009.0,Ni43.0Ti50.0Pd7.0 %,,,,,,,,,,,43.0,7.0,,,,,50.0,,,,,,,10.0,10.0,,
Z. Zhang; R.D. James; S. Muller,Acta Materialia,Energy barriers and hysteresis in martensitic phase transformations,2009.0,Ni41.0Ti50.0Pd9.0 %,,,,,,,,,,,41.0,9.0,,,,,50.0,,,,,,,10.0,10.0,,
Z. Zhang; R.D. James; S. Muller,Acta Materialia,Energy barriers and hysteresis in martensitic phase transformations,2009.0,Ni39.0Ti50.0Pd11.0 %,,,,,,,,,,,39.0,11.0,,,,,50.0,,,,,,,10.0,10.0,,
Z. Zhang; R.D. James; S. Muller,Acta Materialia,Energy barriers and hysteresis in martensitic phase transformations,2009.0,Ni34.0Ti50.0Pd16.0 %,,,,,,,,,,,34.0,16.0,,,,,50.0,,,,,,,10.0,10.0,,
Z. Zhang; R.D. James; S. Muller,Acta Materialia,Energy barriers and hysteresis in martensitic phase transformations,2009.0,Ni30.0Ti50.0Pd20.0 %,,,,,,,,,,,30.0,20.0,,,,,50.0,,,,,,,10.0,10.0,,
Z. Zhang; R.D. James; S. Muller,Acta Materialia,Energy barriers and hysteresis in martensitic phase transformations,2009.0,Ni25.0Ti50.0Pd25.0 %,,,,,,,,,,,25.0,25.0,,,,,50.0,,,,,,,10.0,10.0,,
Y.C. Lo; S.K. Wu,Scripta Metallurgica et Materialia,Compositional Dependence of Martensitic Transformation Sequence in Ti50Ni50-xPdx Alloys with x<15at%,1992.0,Ni49.0Ti50.0Pd1.0 %,,,,,,,,,,,49.0,1.0,,,,,50.0,,,,,,,10.0,10.0,,
Y.C. Lo; S.K. Wu,Scripta Metallurgica et Materialia,Compositional Dependence of Martensitic Transformation Sequence in Ti50Ni50-xPdx Alloys with x<15at%,1992.0,Ni47.0Ti50.0Pd3.0 %,,,,,,,,,,,47.0,3.0,,,,,50.0,,,,,,,10.0,10.0,,
Y.C. Lo; S.K. Wu,Scripta Metallurgica et Materialia,Compositional Dependence of Martensitic Transformation Sequence in Ti50Ni50-xPdx Alloys with x<15at%,1992.0,Ni45.0Ti50.0Pd5.0 %,,,,,,,,,,,45.0,5.0,,,,,50.0,,,,,,,10.0,10.0,,
Y.C. Lo; S.K. Wu,Scripta Metallurgica et Materialia,Compositional Dependence of Martensitic Transformation Sequence in Ti50Ni50-xPdx Alloys with x<15at%,1992.0,Ni43.0Ti50.0Pd7.0 %,,,,,,,,,,,43.0,7.0,,,,,50.0,,,,,,,10.0,10.0,,
Y.C. Lo; S.K. Wu,Scripta Metallurgica et Materialia,Compositional Dependence of Martensitic Transformation Sequence in Ti50Ni50-xPdx Alloys with x<15at%,1992.0,Ni41.0Ti50.0Pd9.0 %,,,,,,,,,,,41.0,9.0,,,,,50.0,,,,,,,10.0,10.0,,
Y.C. Lo; S.K. Wu,Scripta Metallurgica et Materialia,Compositional Dependence of Martensitic Transformation Sequence in Ti50Ni50-xPdx Alloys with x<15at%,1992.0,Ni39.0Ti50.0Pd11.0 %,,,,,,,,,,,39.0,11.0,,,,,50.0,,,,,,,10.0,10.0,,
Y.C. Lo; S.K. Wu,Scripta Metallurgica et Materialia,Compositional Dependence of Martensitic Transformation Sequence in Ti50Ni50-xPdx Alloys with x<15at%,1992.0,Ni37.0Ti50.0Pd13.0 %,,,,,,,,,,,37.0,13.0,,,,,50.0,,,,,,,10.0,10.0,,
Y.C. Lo; S.K. Wu,Scripta Metallurgica et Materialia,Compositional Dependence of Martensitic Transformation Sequence in Ti50Ni50-xPdx Alloys with x<15at%,1992.0,Ni35.0Ti50.0Pd15.0 %,,,,,,,,,,,35.0,15.0,,,,,50.0,,,,,,,10.0,10.0,,
D. N. Abujudom; M. Y. Kao; P. E. Thoma and D. R. Angst,US5114504,High Transformation Temperature Shape Memory Alloy,1992.0,Ni49.0Ti50.0Zr1.0 %,,,,,,,,,,,49.0,,,,,,50.0,,1.0,,,,,10.0,10.0,,
D. N. Abujudom; M. Y. Kao; P. E. Thoma and D. R. Angst,US5114504,High Transformation Temperature Shape Memory Alloy,1992.0,Ni49.0Ti46.0Zr5.0 %,,,,,,,,,,,49.0,,,,,,46.0,,5.0,,,,,10.0,10.0,,
D. N. Abujudom; M. Y. Kao; P. E. Thoma and D. R. Angst,US5114504,High Transformation Temperature Shape Memory Alloy,1992.0,Ni49.0Ti43.0Zr8.0 %,,,,,,,,,,,49.0,,,,,,43.0,,8.0,,,,,10.0,10.0,,
F. Cuevas; M. Latroche; P. Ochin; A. Dezellus; J. F. Fernández; C. Sánchez and A. Percheron-Guégan,Journal of Alloys and Compounds,Influence of the martensitic transformation on the hydrogenation properties of Ti50−xZrxNi50 alloys,2002.0,Ni50.0Ti38.0Zr12.0 %,,,,,,,,,,,50.0,,,,,,38.0,,12.0,,,,,10.0,10.0,,
F. Cuevas; M. Latroche; P. Ochin; A. Dezellus; J. F. Fernández; C. Sánchez and A. Percheron-Guégan,Journal of Alloys and Compounds,Influence of the martensitic transformation on the hydrogenation properties of Ti50−xZrxNi50 alloys,2002.0,Ni50.0Ti32.0Zr18.0 %,,,,,,,,,,,50.0,,,,,,32.0,,18.0,,,,,10.0,10.0,,
F. Cuevas; M. Latroche; P. Ochin; A. Dezellus; J. F. Fernández; C. Sánchez and A. Percheron-Guégan,Journal of Alloys and Compounds,Influence of the martensitic transformation on the hydrogenation properties of Ti50−xZrxNi50 alloys,2002.0,Ni50.0Ti26.0Zr24.0 %,,,,,,,,,,,50.0,,,,,,26.0,,24.0,,,,,10.0,10.0,,
T. Sawaguchi; M. Sato and A. Ishida,Transactions Materials Research Society Japan,High Temperature Shape Memory Effects in Ternary Ti-Ni-X (X= Pd; Zr) Thin Films,2004.0,Ni49.4Ti35.7Zr14.9 %,,,,,,,,,,,49.4,,,,,,35.7,,14.9,,,,,10.0,10.0,,
